,movieId,Average Rating,Number of Ratings
5392,186,2.822916667,48
5440,187,4.125,4
5444,188,3.458333333,12
5456,189,3,1
5457,190,2.8,5
5462,191,2.416666667,6
5468,193,2.471428571,35
5503,194,3.666666667,18
5521,195,3.1,10
5531,196,2.666666667,45
5576,198,3.25,28
5604,199,4.125,4
5608,201,3,1
5609,202,3,1
5610,203,3.431818182,22
5632,204,2.716666667,30
5662,205,3.166666667,9
5671,206,3,2
5673,207,3.428571429,21
5694,208,2.913043478,115
5809,209,3.166666667,3
5812,210,3,4
5816,211,3.5,2
5818,212,3,3
5821,213,3.833333333,6
5827,214,4,2
5829,215,4.041666667,24
5853,216,3.326530612,49
5902,217,2.333333333,6
5908,218,3.428571429,14
5922,219,3,1
5923,220,3,1
5924,222,3.75,16
5940,223,3.855769231,104
6044,224,3.6125,40
6084,225,3.538461538,52
6136,227,2.863636364,22
6158,228,2.333333333,3
6161,229,3.428571429,7
6168,230,3.395833333,24
6192,231,3.060150376,133
6325,232,3.892857143,14
6339,233,3.5,12
6351,234,2.588235294,17
6368,235,3.678571429,70
6438,236,3.477777778,45
6483,237,3.340909091,22
6505,238,4,2
6507,239,3,17
6524,240,2.375,4
6528,241,4,1
6529,242,3.6,5
6534,243,3,1
6535,246,4.293103448,29
6564,247,3.928571429,21
6585,248,3.176470588,17
6602,249,3.722222222,18
6620,250,2.5,6
6626,251,3,3
6629,252,3.453488372,43
6672,253,3.458715596,109
6781,254,3,1
6782,255,2.071428571,7
6789,256,2.828571429,35
6824,257,3.5,14
6838,258,2.6,10
6848,259,3.2,5
6853,260,4.231075697,251
7104,261,3.880952381,42
7146,262,3.904761905,21
7167,263,4,1
7168,265,3.939393939,33
7201,266,3.397058824,68
7269,267,2.941176471,17
7286,269,3,2
7288,270,3.4,5
7293,271,3.5,4
7297,272,3.758064516,31
7328,273,2.946428571,28
7356,274,2.928571429,7
7363,275,2,6
7369,276,3.25,22
7391,277,3.223684211,38
7429,278,1.5,2
7431,279,3,2
7433,280,4.076923077,13
7446,281,3.785714286,14
7460,282,3.3375,40
7500,283,3.666666667,3
7503,284,4.5,1
7504,285,4,1
7505,287,3,1
7506,288,3.233695652,92
7598,289,3.5625,8
7606,290,4.035714286,14
7620,291,2.333333333,3
7623,292,3.425742574,101
7724,293,4.018796992,133
7857,294,3,2
7859,295,3,1
7860,296,4.197068404,307
8167,298,2,1
8168,299,4,4
8172,300,3.518518519,81
8253,301,4,1
8254,302,3.2,5
8259,303,2.953125,32
8291,304,3.666666667,3
8294,305,2.833333333,9
8303,306,4.21875,16
8319,307,3.895833333,24
8343,308,4.025,20
8363,310,3,1
8364,311,3,1
8365,312,1.444444444,9
8374,313,3.333333333,3
8377,314,3.75,16
8393,315,3.078947368,38
8431,316,3.375,140
8571,317,3.203703704,81
8652,318,4.429022082,317
8969,319,3.6,20
8989,320,3,1
8990,321,4,2
8992,322,3.55,10
9002,324,4,1
9003,325,2.5,7
9010,326,4,3
9013,327,2.823529412,34
9047,328,3.15,10
9057,329,3.393518519,108
9165,330,3,6
9171,331,3,2
9173,332,2.833333333,12
9185,333,3.78,50
9235,334,4.2,5
9240,335,3.5,2
9242,336,3,1
9243,337,3.766233766,77
9320,338,2.842105263,19
9339,339,3.469387755,98
9437,340,3.4,5
9442,341,4,2
9444,342,3.272727273,33
9477,343,2.9,5
9482,344,3.040372671,161
9643,345,3.597222222,36
9679,346,3.5,6
9685,347,3.5,6
9691,348,3.583333333,30
9721,349,3.604545455,110
9831,350,3.385964912,57
9888,351,3.176470588,17
9905,352,2.5,2
9907,353,3.609375,64
9971,354,3.333333333,6
9977,355,2.357142857,42
10019,356,4.164133739,329
10348,357,3.519417476,103
10451,358,2.666666667,9
10460,359,3,1
10461,360,2.6875,8
10469,361,3.058823529,17
10486,362,3.529411765,34
10520,363,4,2
10522,364,3.941860465,172
10694,365,3.25,4
10698,366,2.916666667,12
10710,367,3.184713376,157
10867,368,3.5,74
10941,369,4,2
10943,370,3.060344828,58
11001,371,3.30952381,21
11022,372,2.761904762,21
11043,373,3.636363636,11
11054,374,2.2,25
11079,376,3.25,40
11119,377,3.529239766,171
11290,378,2.785714286,7
11297,379,2.5,21
11318,380,3.497191011,178
11496,381,3.818181818,11
11507,382,3.15625,16
11523,383,3.095238095,21
11544,384,3.25,2
11546,385,4,1
11547,386,3,1
11548,387,2.375,4
11552,388,3,2
11554,389,4.5,2
11556,390,3.7,5
11561,391,4.5,1
11562,393,2.5,10
11572,405,2.416666667,12
11584,406,3,1
11585,407,3.4375,8
11593,408,3,2
11595,409,2,1
11596,410,3.101190476,84
11680,412,3.5,15
11695,413,2.788461538,26
11721,414,2.333333333,6
11727,415,2.53125,16
11743,416,2.5,8
11751,417,3.692307692,13
11764,418,3,2
11766,419,2.675,20
11786,420,2.720338983,59
11845,421,3.208333333,12
11857,422,3.2,5
11862,423,2.85,10
11872,424,1.833333333,3
11875,425,3.75,2
11877,426,3.142857143,7
11884,427,2.541666667,12
11896,428,3.722222222,18
11914,429,2,6
11920,430,3.75,2
11922,431,3.738095238,42
11964,432,2.645454545,55
12019,433,2.75,8
12027,434,3.034653465,101
12128,435,2.420634921,63
12191,436,2.571428571,7
12198,437,2.166666667,9
12207,438,2.714285714,7
12214,440,3.546052632,76
12290,441,3.928571429,42
12332,442,3.092592593,81
12413,444,2.333333333,6
12419,445,3,12
12431,446,3.833333333,9
12440,448,3.625,8
12448,449,1,1
12449,450,3,7
12456,451,4,1
12457,452,3,3
12460,453,2.8,5
12465,454,3.534653465,101
12566,455,2.391891892,37
12603,456,3.75,4
12607,457,3.992105263,190
12797,458,2.8,5
12802,459,2.25,6
12808,460,2.666666667,3
12811,461,2.75,4
12815,464,2.9,10
12825,466,2.866666667,60
12885,467,5,1
12886,468,3.204545455,22
12908,469,3.4,5
12913,470,1,1
12914,471,3.55,40
12954,472,2.583333333,6
12960,473,1.857142857,7
12967,474,3.692857143,70
13037,475,4.3,25
13062,476,1,1
13063,477,3.382352941,17
13080,478,2.5,1
13081,479,2.25,4
13085,480,3.75,238
13323,481,3.157894737,19
13342,482,3.625,8
13350,484,3,2
13352,485,2.933962264,53
13405,486,3,3
13408,487,2.5,4
13412,488,3,1
13413,489,2.863636364,11
13424,490,3,12
13436,491,3.294117647,17
13453,492,3.75,14
13467,493,3.666666667,12
13479,494,3.37804878,41
13520,495,5,1
13521,496,5,1
13522,497,3.813953488,43
13565,499,2.5,2
13567,500,3.388888889,144
13711,501,3.666666667,6
13717,502,2.366666667,15
13732,504,3,2
13734,505,2.214285714,7
13741,506,4.5,2
13743,507,3.384615385,13
13756,508,3.613636364,66
13822,509,3.540983607,61
13883,510,3,1
13884,511,3,2
13886,512,3,4
13890,513,3.375,4
13894,514,3.416666667,18
13912,515,3.604166667,24
13936,516,3.055555556,18
13954,517,3.277777778,9
13963,518,2.375,4
13967,519,2.404761905,21
13988,520,3.130434783,69
14057,521,3.166666667,3
14060,522,3.285714286,7
14067,523,3.5,4
14071,524,3.485294118,34
14105,526,4,1
14106,527,4.225,220
14326,528,2.333333333,3
14329,529,3.875,40
14369,531,3.25,24
14393,532,3,16
14409,533,2.888888889,18
14427,534,3.607142857,14
14441,535,3.266666667,15
14456,536,3.333333333,3
14459,537,3.166666667,12
14471,538,3.583333333,12
14483,539,3.471698113,106
14589,540,2.666666667,18
14607,541,4.100806452,124
14731,542,2.785714286,14
14745,543,3.317073171,41
14786,544,2.4375,8
14794,546,2,21
14815,547,3.25,2
14817,548,2.75,6
14823,549,4.5,2
14825,550,3.4,5
14830,551,3.553763441,93
14923,552,3.262295082,61
14984,553,3.815384615,65
15049,555,3.8,65
15114,556,3.333333333,6
15120,558,2.9375,8
15128,562,3.543478261,23
15151,563,4,1
15152,564,1.5,2
15154,567,2,3
15157,568,3.5,2
15159,569,2.666666667,6
15165,573,3.5,1
15166,574,3.25,4
15170,575,2.65625,16
15186,577,2.125,4
15190,579,3,1
15191,580,2.8,5
15196,581,4,4
15200,583,4,1
15201,585,2.736111111,36
15237,586,2.995689655,116
15353,587,3.434782609,115
15468,588,3.792349727,183
15651,589,3.970982143,224
15875,590,3.835365854,164
16039,592,3.428571429,189
16228,593,4.161290323,279
16507,594,3.616883117,77
16584,595,3.770547945,146
16730,596,3.45,60
16790,597,3.485185185,135
16925,599,3.818181818,11
16936,600,4,1
16937,602,4,1
16938,605,3,10
16948,606,3,4
16952,608,4.116022099,181
17133,609,3.571428571,14
17147,610,3.545454545,33
17180,611,2.416666667,6
17186,612,2.5,6
17192,613,3.1875,8
17200,615,3,1
17201,616,3.411111111,45
17246,617,2.833333333,3
17249,618,3,1
17250,619,2.6,5
17255,626,5,1
17256,627,3.333333333,6
17262,628,3.642857143,35
17297,631,3.181818182,11
17308,632,4,1
17309,633,5,1
17310,634,2.25,4
17314,635,3,2
17316,636,3,1
17317,637,3.045454545,33
17350,638,3,1
17351,639,3,4
17355,640,2.681818182,11
17366,645,3.5,2
17368,647,3.327586207,29
17397,648,3.537037037,162
17559,649,3,1
17560,650,3,4
17564,653,3.092307692,65
17629,656,3,5
17634,661,3.448979592,49
17683,662,3.285714286,7
17690,663,3.291666667,12
17702,665,4.333333333,3
17705,667,2.8125,8
17713,668,4.25,2
17715,670,4.75,2
17717,671,3.486111111,36
17753,673,2.70754717,53
17806,674,3.166666667,9
17815,678,3.833333333,9
17824,679,4,1
17825,680,4.125,4
17829,685,4,2
17831,688,2.333333333,9
17840,691,3.333333333,3
17843,692,2,4
17847,694,2.954545455,11
17858,695,4,2
17860,697,2.7,5
17865,698,1,1
17866,700,3.214285714,7
17873,703,2,2
17875,704,2.571428571,7
17882,706,3,1
17883,707,2.880952381,21
17904,708,3.387931034,58
17962,709,3.090909091,11
17973,710,2.5625,8
17981,711,3.05,10
17991,714,3.966666667,15
18006,715,3.666666667,3
18009,718,4.125,4
18013,719,2.842857143,35
18048,720,4.092592593,27
18075,722,4,1
18076,724,3.032258065,31
18107,725,2.5,5
18112,726,3,1
18113,728,3.5,10
18123,731,3.333333333,3
18126,733,3.640495868,121
18247,735,3.928571429,7
18254,736,3.321138211,123
18377,737,2.65,20
18397,741,4.148148148,27
18424,742,2.818181818,11
18435,743,2.517241379,29
18464,745,3.895833333,48
18512,747,3.333333333,3
18515,748,3.113636364,22
18537,750,4.268041237,97
18634,757,4,1
18635,759,3.5,2
18637,760,4.25,2
18639,761,2.789473684,19
18658,762,2.414634146,41
18699,764,3.5,2
18701,765,3.157894737,19
18720,766,3.5,4
18724,773,3.5,1
18725,775,3,1
18726,778,4.039215686,102
18828,779,4,2
18830,780,3.445544554,202
19032,781,3.5,7
19039,782,3,8
19047,783,3.329787234,47
19094,784,2.805555556,54
19148,785,3.369047619,42
19190,786,3.109375,64
19254,788,2.731707317,82
19336,790,2,1
19337,791,4,1
19338,795,3.5,2
19340,798,2.708333333,12
19352,799,3.456521739,23
19375,800,4.157894737,19
19394,801,3.136363636,11
19405,802,3.336956522,46
19451,803,4,1
19452,804,3.25,8
19460,805,3.657142857,35
19495,806,1.5,1
19496,808,3.5,2
19498,809,2.333333333,9
19507,810,2.25,12
19519,813,2.8,5
19524,818,3.25,10
19534,823,3.5,1
19535,824,4,1
19536,828,3.333333333,6
19542,829,2.666666667,9
19551,830,3.071428571,21
19572,832,3.337837838,37
19609,833,2,6
19615,835,3.666666667,3
19618,836,2.882352941,17
19635,837,3.272727273,33
19668,838,3.916666667,30
19698,839,2.833333333,15
19713,840,3.375,4
19717,841,3,2
19719,842,2.541666667,12
19731,848,3.285714286,7
19738,849,2.920454545,44
19782,851,2.833333333,6
19788,852,3.174418605,43
19831,858,4.2890625,192
20023,861,3.833333333,9
20032,866,4,23
20055,867,1.75,2
20057,869,3.666666667,3
20060,870,1,2
20062,875,3.5,1
20063,876,5,1
20064,879,3,4
20068,880,2.740740741,27
20095,881,2.1,5
20100,882,2,1
20101,885,2.5,2
20103,886,2.666666667,6
20109,888,2.166666667,3
20112,889,4,1
20113,891,3.8,5
20118,892,3.538461538,13
20131,893,3.666666667,3
20134,896,2.5,2
20136,897,3.75,2
20138,898,4.310344828,29
20167,899,4.074468085,47
20214,900,3.708333333,12
20226,901,3,7
20233,902,3.847222222,36
20269,903,4.025,60
20329,904,4.261904762,84
20413,905,4.321428571,14
20427,906,4.142857143,7
20434,907,3.5,2
20436,908,4.184210526,57
20493,909,3.962962963,27
20520,910,4.01,50
20570,911,3.807692308,13
20583,912,4.24,100
20683,913,4.170454545,44
20727,914,4.042857143,35
20762,915,3.766666667,30
20792,916,4.057692308,26
20818,917,3.5,2
20820,918,4.1,10
20830,919,3.880434783,92
20922,920,3.644444444,45
20967,921,3.388888889,9
20976,922,4.333333333,27
21003,923,4.043478261,69
21072,924,3.894495413,109
21181,926,4.229166667,24
21205,927,4,3
21208,928,4.166666667,18
21226,929,3.5,1
21227,930,4.25,20
21247,931,3.833333333,9
21256,932,3.9375,8
21264,933,4.217391304,23
21287,934,3.25,12
21299,935,3.833333333,3
21302,936,4,6
21308,937,3.5,2
21310,938,3.25,6
21316,940,4,8
21324,941,3.75,2
21326,942,4.333333333,6
21332,943,3.928571429,7
21339,944,4,3
21342,945,4.071428571,7
21349,946,2.5,3
21352,947,3.75,4
21356,948,3.916666667,6
21362,949,3.916666667,6
21368,950,3.857142857,7
21375,951,4.392857143,14
21389,952,3.625,12
21401,953,4.034482759,58
21459,954,4.083333333,18
21477,955,3.861111111,18
21495,956,4,1
21496,959,3.5,1
21497,961,4,1
21498,963,3,1
21499,965,4.045454545,11
21510,968,3.75,28
21538,969,3.970588235,34
21572,970,3.5,1
21573,971,4.1,10
21583,973,3.9,5
21588,976,3,1
21589,979,3,1
21590,981,3,2
21592,982,3,1
21593,984,3.5,2
21595,986,3.538461538,13
21608,987,3,1
21609,988,3,2
21611,990,2.9,5
21616,991,3.318181818,11
21627,993,3,1
21628,994,4.181818182,11
21639,996,2.5,13
21652,998,3,3
21655,999,3.041666667,12
21667,1003,2.5,3
21670,1004,3,6
21676,1005,2.1875,8
21684,1006,3.5,5
21689,1007,2.6,10
21699,1008,3,1
21700,1009,3.055555556,9
21709,1010,3.055555556,9
21718,1011,2.9375,8
21726,1012,3.444444444,9
21735,1013,3.208333333,12
21747,1014,2.9,5
21752,1015,2.95,20
21772,1016,2.9,5
21777,1017,3.5,10
21787,1018,2.416666667,6
21793,1019,3.470588235,17
21810,1020,3.081081081,37
21847,1021,2.333333333,27
21874,1022,3.488095238,42
21916,1023,3.615384615,13
21929,1024,3.666666667,6
21935,1025,3.58,25
21960,1027,3.017857143,28
21988,1028,3.887323944,71
22059,1029,3.385714286,35
22094,1030,2.766666667,15
22109,1031,3.479166667,24
22133,1032,3.375,40
22173,1033,3.575,20
22193,1034,3.1,5
22198,1035,3.9375,64
22262,1036,3.862068966,145
22407,1037,2.770833333,24
22431,1040,3,1
22432,1041,4.590909091,11
22443,1042,3.273809524,42
22485,1043,2.4,5
22490,1046,4.5,4
22494,1047,3.318181818,33
22527,1049,3.476190476,21
22548,1050,3.9,5
22553,1051,4,3
22556,1053,3,1
22557,1054,2,1
22558,1055,1.5,2
22560,1056,3.071428571,7
22567,1057,3.466666667,15
22582,1059,3.722222222,36
22618,1060,3.694444444,36
22654,1061,3.672413793,29
22683,1064,3.153846154,13
22696,1066,4.5,4
22700,1068,3.5,1
22701,1073,3.87394958,119
22820,1077,3.75,28
22848,1078,3.409090909,11
22859,1079,3.922535211,71
22930,1080,3.926966292,89
23019,1081,3.541666667,12
23031,1082,3.583333333,6
23037,1083,3.333333333,6
23043,1084,4.071428571,35
23078,1085,3.5,2
23080,1086,4.1,25
23105,1088,3.369047619,42
23147,1089,4.202290076,131
23278,1090,3.984126984,63
23341,1091,2.547619048,21
23362,1092,3.191489362,47
23409,1093,3.405405405,37
23446,1094,3.44047619,42
23488,1095,3.666666667,15
23503,1096,4.05,10
23513,1097,3.766393443,122
23635,1099,3.375,4
23639,1100,2.710526316,19
23658,1101,3.301204819,83
23741,1103,4.1,15
23756,1104,4.475,20
23776,1105,4.666666667,3
23779,1107,2,2
23781,1111,4.125,4
23785,1112,4.5,2
23787,1114,3,1
23788,1116,4,1
23789,1117,3.5,1
23790,1119,3,1
23791,1120,3.537037037,27
23818,1121,4,1
23819,1123,4.25,2
23821,1124,3.653846154,13
23834,1125,3.6875,24
23858,1126,2.833333333,6
23864,1127,3.475806452,62
23926,1128,2.5,5
23931,1129,3.448717949,39
23970,1130,2.9,5
23975,1131,4.090909091,11
23986,1132,4.0625,8
23994,1135,3.115384615,13
24007,1136,4.161764706,136
24143,1137,4,1
24144,1140,5,1
24145,1144,4,1
24146,1147,3.9,10
24156,1148,4.035714286,56
24212,1150,4.333333333,3
24215,1151,5,2
24217,1156,3.5,1
24218,1161,3.666666667,3
24221,1162,3,1
24222,1163,1,1
24223,1167,3.5,2
24225,1170,2.5,2
24227,1171,3.352941176,17
24244,1172,4.161764706,34
24278,1173,3.136363636,11
24289,1175,3.833333333,21
24310,1176,4,3
24313,1177,4,6
24319,1178,4.541666667,12
24331,1179,3.62962963,27
24358,1180,3,1
24359,1183,3.711111111,45
24404,1184,3.928571429,7
24411,1185,3.95,10
24421,1186,3.586956522,23
24444,1187,3.6,5
24449,1188,3.659090909,22
24471,1189,4,11
24482,1190,3.166666667,6
24488,1191,3.5,6
24494,1192,4.5,5
24499,1193,4.203007519,133
24632,1194,3.590909091,11
24643,1196,4.21563981,211
24854,1197,4.232394366,142
24996,1198,4.2075,200
25196,1199,4.177966102,59
25255,1200,3.964285714,126
25381,1201,4.145833333,72
25453,1202,3.857142857,7
25460,1203,4.149122807,57
25517,1204,4.3,45
25562,1206,3.995833333,120
25682,1207,4.120689655,58
25740,1208,4.219626168,107
25847,1209,4.305555556,18
25865,1210,4.137755102,196
26061,1211,3.884615385,13
26074,1212,4.229166667,24
26098,1213,4.25,126
26224,1214,3.969178082,146
26370,1215,4.039215686,51
26421,1216,3.454545455,11
26432,1217,4.433333333,15
26447,1218,4,11
26458,1219,4.036144578,83
26541,1220,3.80952381,84
26625,1221,4.259689922,129
26754,1222,4.098039216,102
26856,1223,4.089285714,28
26884,1224,4,19
26903,1225,4.184210526,76
26979,1226,3.5,6
26985,1227,4.0625,16
27001,1228,4.1875,40
27041,1230,3.870689655,58
27099,1231,3.863636364,22
27121,1232,3.625,8
27129,1233,4.2125,40
27169,1234,3.9765625,64
27233,1235,4.288461538,26
27259,1236,4.333333333,3
27262,1237,4.222222222,18
27280,1238,4.055555556,9
27289,1240,3.896946565,131
27420,1241,4.05,10
27430,1242,4.170731707,41
27471,1243,3.96875,16
27487,1244,4.106060606,33
27520,1245,4.225,20
27540,1246,3.959302326,86
27626,1247,4.063291139,79
27705,1248,4.264705882,17
27722,1249,4.071428571,35
27757,1250,4.122222222,45
27802,1251,4.071428571,14
27816,1252,4.211864407,59
27875,1253,3.82,25
27900,1254,3.65625,16
27916,1255,3,6
27922,1256,3.804347826,23
27945,1257,3.685185185,27
27972,1258,4.082568807,109
28081,1259,4.005494505,91
28172,1260,3.733333333,15
28187,1261,4.044117647,34
28221,1262,4.127906977,43
28264,1263,3.825581395,43
28307,1264,3.8,5
28312,1265,3.944055944,143
28455,1266,4.111111111,45
28500,1267,4.25,30
28530,1268,3.611111111,9
28539,1269,3.879310345,29
28568,1270,4.038011696,171
28739,1271,3.5,30
28769,1272,4.121212121,33
28802,1273,4.045454545,11
28813,1274,3.743589744,39
28852,1275,3.729166667,48
28900,1276,4.271929825,57
28957,1277,4.125,12
28969,1278,3.992753623,69
29038,1279,4.125,8
29046,1280,4.333333333,9
29055,1281,4.133333333,15
29070,1282,3.783018868,53
29123,1283,4.210526316,19
29142,1284,4.142857143,14
29156,1285,3.731707317,41
29197,1286,3.071428571,7
29204,1287,3.941176471,34
29238,1288,4.015151515,66
29304,1289,3.863636364,11
29315,1290,3.35,10
29325,1291,4.046428571,140
29465,1292,3.95,20
29485,1293,3.833333333,27
29512,1295,3.227272727,11
29523,1296,3.705882353,17
29540,1297,3.675,20
29560,1298,3.760869565,23
29583,1299,4.017857143,28
29611,1300,4.166666667,9
29620,1301,3.807692308,13
29633,1302,3.517857143,56
29689,1303,4.029411765,17
29706,1304,3.943548387,62
29768,1305,3.5,4
29772,1306,2.7,5
29777,1307,3.858823529,85
29862,1310,5,1
29863,1312,2.5,2
29865,1318,2,1
29866,1320,3.14893617,47
29913,1321,3.413043478,23
29936,1322,1.5,3
29939,1323,1.666666667,3
29942,1324,1.166666667,3
29945,1325,1.25,2
29947,1326,1.125,4
29951,1327,2.633333333,15
29966,1328,0.75,2
29968,1329,2.75,2
29970,1330,1.5,4
29974,1331,2,1
29975,1332,3.666666667,3
29978,1333,3.602272727,44
30022,1334,3,6
30028,1335,1,1
30029,1336,1,1
30030,1337,4.5,1
30031,1339,3.465517241,29
30060,1340,3.166666667,3
30063,1341,3.75,2
30065,1342,2.5,11
30076,1343,3.78,25
30101,1344,3.964285714,14
30115,1345,3.347222222,36
30151,1346,2.8125,8
30159,1347,3,27
30186,1348,3.53125,16
30202,1349,5,1
30203,1350,3.818181818,22
30225,1351,2.333333333,3
30228,1352,2.25,2
30230,1353,3.375,4
30234,1354,4.071428571,7
30241,1355,2,3
30244,1356,3.879120879,91
30335,1357,4,24
30359,1358,3.840425532,47
30406,1359,2.861111111,18
30424,1361,4.083333333,6
30430,1363,3.5,5
30435,1365,3.583333333,6
30441,1366,3.9,5
30446,1367,3.074468085,47
30493,1370,3.404411765,68
30561,1371,3.044444444,45
30606,1372,3.345238095,42
30648,1373,2.666666667,30
30678,1374,3.766129032,62
30740,1375,3.261904762,42
30782,1376,3.476744186,43
30825,1377,3.025,60
30885,1378,3.1,25
30910,1379,3,11
30921,1380,3.139705882,68
30989,1381,2.078947368,19
31008,1382,1.875,4
31012,1385,2.854166667,24
31036,1387,4.005494505,91
31127,1388,2.617647059,17
31144,1389,1.416666667,6
31150,1390,2.666666667,9
31159,1391,3.093023256,86
31245,1392,4.125,4
31249,1393,3.594117647,85
31334,1394,3.99137931,58
31392,1395,3,5
31397,1396,3.47826087,46
31443,1397,4,2
31445,1398,2.5,1
31446,1399,3.1,5
31451,1401,3.333333333,3
31454,1405,2.935483871,31
31485,1406,4.5,2
31487,1407,3.2,70
31557,1408,3.833333333,39
31596,1409,2.5,23
31619,1411,4,16
31635,1412,3.5,1
31636,1413,4.25,2
31638,1414,3,8
31646,1415,2.5,2
31648,1416,3.416666667,12
31660,1417,3.25,2
31662,1419,4.25,2
31664,1422,2.75,4
31668,1423,4,1
31669,1425,3,8
31677,1426,1,1
31678,1427,1,1
31679,1428,3,2
31681,1429,3.575,20
31701,1430,3,3
31704,1431,2.46875,16
31720,1432,2.714285714,7
31727,1437,4.25,2
31729,1438,2.625,24
31753,1439,2.166666667,3
31756,1440,1.5,2
31758,1441,3.473684211,19
31777,1442,3.5,5
31782,1445,2.142857143,7
31789,1446,4.428571429,7
31796,1447,3.375,4
31800,1449,3.875,24
31824,1453,1.833333333,3
31827,1454,3.75,6
31833,1456,2,1
31834,1457,3.083333333,12
31846,1458,4,1
31847,1459,2.666666667,12
31859,1460,3.25,2
31861,1461,2.3125,8
31869,1464,3.264705882,17
31886,1465,3.333333333,3
31889,1466,3.740384615,52
31941,1468,2.6,5
31946,1473,4,1
31947,1474,2.136363636,11
31958,1475,4,1
31959,1476,3.538461538,26
31985,1477,4,1
31986,1479,3.216666667,30
32016,1480,3.363636364,11
32027,1483,3.090909091,11
32038,1484,3.666666667,3
32041,1485,3.033783784,74
32115,1487,3,5
32120,1488,2.833333333,15
32135,1489,3,2
32137,1490,1.5,2
32139,1493,3.5,1
32140,1495,2,2
32142,1496,4,1
32143,1497,4,3
32146,1498,3,5
32151,1499,1.925925926,27
32178,1500,3.610169492,59
32237,1502,2.5,2
32239,1503,3,4
32243,1507,3.5,1
32244,1513,2.965517241,29
32273,1514,3,1
32274,1515,2.1,15
32289,1516,3,1
32290,1517,3.535,100
32390,1518,3.346153846,13
32403,1519,1,1
32404,1526,1,3
32407,1527,3.745689655,116
